codigo_postal;municipio;pais
4149;Carboneras;España
4149;Níjar;España
4149;Sorbas;España
4150;Almería;España
4151;Níjar;España
4160;Almería;España
4200;Tabernas;España
4210;Lucainena de las Torres;España
4211;Lucainena de las Torres;España
4211;Tabernas;España
4211;Turrillas;España
4212;Castro de Filabres;España
4212;Olula de Castro;España
4212;Velefique;España
4213;Senés;España
4230;Huércal de Almería;España
4240;Viator;España
4248;Sorbas;España
4250;Pechina;España
4259;Pechina;España
4260;Rioja;España
4270;Sorbas;España
4271;Lubrín;España
4271;Sorbas;España
4274;Benizalón;España
4274;Tahal;España
4274;Uleila del Campo;España
4275;Tahal;España
4275;Tíjola;España
4276;Alcudia de Monteagud;España
4276;Benitagla;España
4276;Benizalón;España
4277;Sorbas;España
4277;Turre;España
4278;Sorbas;España
4279;Sorbas;España
4279;Tahal;España
4279;Uleila del Campo;España
4280;Gallardos, Los;España
4288;Bédar;España
4288;Gallardos, Los;España
4289;Bédar;España
4289;Gallardos, Los;España
4289;Sorbas;España
4400;Alhama de Almería;España
4409;Alicún;España
4409;Huécija;España
4410;Benahadux;España
4420;Santa Fe de Mondújar;España
4430;Instinción;España
4431;Íllar;España
4440;Rágol;España
4450;Canjáyar;España
4450;Gérgal;España
4458;Almócita;España
4458;Beires;España
4458;Padules;España
4459;Ohanes;España
4460;Fondón;España
4470;Láujar de Andarax;España
4479;Bayárcal;España
4479;Fondón;España
4479;Paterna del Río;España
4480;Alcolea;España
4500;Fiñana;España
4510;Abla;España
4520;Abrucena;España
4530;Tres Villas, Las;España
4531;Alboloduy;España
4532;Tres Villas, Las;España
4533;Abrucena;España
4540;Nacimiento;España
4549;Gérgal;España
4550;Gérgal;España
4558;Alboloduy;España
4558;Gérgal;España
4559;Gérgal;España
4560;Gádor;España
4567;Alhabia;España
4568;Alsodux;España
4568;Santa Cruz de Marchena;España
4569;Bentarique;España
4569;Terque;España
4600;Albox;España
4600;Huércal-Overa;España
4610;Cuevas del Almanzora;España
4616;Cuevas del Almanzora;España
4617;Cuevas del Almanzora;España
4618;Cuevas del Almanzora;España
4619;Cuevas del Almanzora;España
4620;Vera;España
4628;Antas;España
4629;Antas;España
4630;Garrucha;España
4638;Mojácar;España
4639;Mojácar;España
4639;Turre;España
4640;Oria;España
4640;Pulpí;España
4647;Cuevas del Almanzora;España
4647;Pulpí;España
4648;Cuevas del Almanzora;España
4648;Pulpí;España
4649;Pulpí;España
4650;Zurgena;España
4660;Arboleas;España
4661;Taberno;España
4661;Zurgena;España
4662;Huércal-Overa;España
4662;Zurgena;España
4690;Huércal-Overa;España
4691;Huércal-Overa;España
4692;Albox;España
4692;Huércal-Overa;España
4692;Taberno;España
4693;Huércal-Overa;España
4694;Huércal-Overa;España
4700;Ejido, El;España
4710;Ejido, El;España
4711;Ejido, El;España
4712;Ejido, El;España
4713;Balanegra;España
4715;Ejido, El;España
4716;Ejido, El;España
4720;Roquetas de Mar;España
4721;Vícar;España
4727;Vícar;España
4728;Felix;España
4729;Enix;España
4738;Vícar;España
4740;Roquetas de Mar;España
4741;Roquetas de Mar;España
4743;Roquetas de Mar;España
4745;Mojonera, La;España
4746;Mojonera, La;España
4750;Dalías;España
4760;Berja;España
4768;Alcolea;España
4768;Berja;España
4769;Berja;España
4770;Adra;España
4778;Adra;España
4779;Adra;España
4800;Albox;España
4810;Oria;España
4810;Partaloa;España
4811;Oria;España
4812;Albox;España
4813;Albox;España
4813;Oria;España
4814;Albox;España
4815;Cantoria;España
4820;Vélez-Rubio;España
4825;Chirivel;España
4826;Vélez-Rubio;España
4827;Vélez-Rubio;España
4828;Vélez-Rubio;España
4829;Vélez-Blanco;España
4829;Vélez-Rubio;España
4830;Vélez-Blanco;España
4838;María;España
4839;María;España
4839;Vélez-Blanco;España
4850;Cantoria;España
4857;Albánchez;España
4858;Albánchez;España
4858;Cantoria;España
4859;Cóbdar;España
4859;Chercos;España
4859;Líjar;España
4860;Olula del Río;España
4867;Macael;España
4868;Laroya;España
4869;Fines;España
4870;Purchena;España
4877;Lúcar;España
4877;Somontín;España
4878;Sierro;España
4878;Suflí;España
4879;Urrácal;España
4880;Tíjola;España
4887;Lúcar;España
4887;Tíjola;España
4888;Armuña de Almanzora;España
4888;Bayarque;España
4889;Bacares;España
4889;Tíjola;España
4890;Serón;España
4897;Alcóntar;España
4897;Serón;España
4898;Alcóntar;España
4898;Serón;España
4899;Oria;España
4899;Serón;España
4964;Huércal-Overa;España
5001;Ávila;España
5002;Ávila;España
5003;Ávila;España
5004;Ávila;España
5005;Ávila;España
5100;Navaluenga;España
5110;Barraco, El;España
5111;San Juan de la Nava;España
5113;Burgohondo;España
5114;Villanueva de Ávila;España
5115;Navarrevisca;España
5115;Serranillos;España
5116;Serranillos;España
5120;Navalmoral;España
5120;Navarredondilla;España
5120;San Juan del Molinillo;España
5122;Navaquesera;España
5122;Navatalgordo;España
5123;Hoyocasero;España
5123;Navalosa;España
5125;Donvidas;España
5130;Solosancho;España
5131;Hija de Dios, La;España
5131;Mengamuñoz;España
5131;Narros del Puerto;España
5132;Cepeda la Mora;España
5132;Hoyos de Miguel Muñoz;España
5132;San Martín del Pimpollar;España
5133;San Martín de la Vega del Alberche;España
5134;Garganta del Villar;España
5134;Navadijos;España
5134;Navalacruz;España
5140;Bularros;España
5140;Casasola;España
5140;Marlín;España
5140;Martiherrero;España
5141;Chamartín;España
5141;Gallegos de Altamiros;España
5141;Narrillos del Rebollar;España
5141;Sanchorreja;España
5143;Valdecasa;España
5145;Manjabálago y Ortigosa de Rioalmar;España
5145;Muñico;España
5145;San Juan del Olmo;España
5146;Blascomillán;España
5146;Herreros de Suso;España
5146;Mancera de Arriba;España
5146;Mirueña de los Infanzones;España
5146;Parral, El;España
5146;San García de Ingelmos;España
5146;Vita;España
5147;Gallegos de Sobrinos;España
5147;Hurtumpascual;España
5148;Cabezas del Villar;España
5149;Cillán;España
5149;Solana de Rioalmar;España
5150;Pascualcobo;España
5150;Riocabado;España
5150;San Miguel de Serrezuela;España
5151;Martínez;España
5151;Diego del Carpio;España
5152;Martínez;España
5153;Arevalillo;España
5153;Becedillas;España
5153;Collado del Mirón;España
5153;Malpartida de Corneja;España
5153;Mirón, El;España
5154;Mirón, El;España
5154;Narrillos del Álamo;España
5154;Zapardiel de la Cañada;España
5160;Ávila;España
5161;Mingorría;España
5162;Berlanas, Las;España
5163;Gotarrendura;España
5163;Monsalupe;España
5163;Peñalba de Ávila;España
5164;Hernansancho;España
5164;Oso, El;España
5164;Riocabado;España
5164;San Pascual;España
5164;Villanueva de Gómez;España
5165;Bohodón, El;España
5165;Cabizuela;España
5165;Pedro-Rodríguez;España
5165;Tiñosillos;España
5190;Riofrío;España
5191;Mironcillo;España
5191;Niharra;España
5192;Colilla, La;España
5192;Muñopepe;España
5192;Serrada, La;España
5193;Ojos-Albos;España
5193;Santa María del Cubillo;España
5194;Ávila;España
5194;Berrocalejo de Aragona;España
5194;Mediana de Voltoya;España
5195;Ávila;España
5196;Herradón de Pinares;España
5196;Tornadizos de Ávila;España
5197;Ávila;España
5197;Fresno, El;España
5197;Gemuño;España
5198;Poyales del Hoyo;España
5198;Sotalbo;España
5200;Arévalo;España
5210;Horcajo de las Torres;España
5210;San Juan de la Encinilla;España
5211;Bernuy-Zapardiel;España
5211;Cabezas del Pozo;España
5211;Cantiveros;España
5211;Cisla;España
5212;Aldeaseca;España
5212;Canales;España
5212;Fuente el Saúz;España
5212;Fuentes de Año;España
5212;Villanueva del Aceral;España
5213;Langa;España
5215;Donvidas;España
5215;Palacios de Goda;España
5215;Sinlabajos;España
5216;Nava de Arévalo;España
5217;Cabezas de Alambre;España
5217;Constanzana;España
5217;Donjimeno;España
5217;San Vicente de Arévalo;España
5220;Madrigal de las Altas Torres;España
5229;Barromán;España
5229;Bercial de Zapardiel;España
5229;Castellanos de Zapardiel;España
5229;San Esteban de Zapardiel;España
5230;Navas del Marqués, Las;España
5239;Navas del Marqués, Las;España
5239;Peguerinos;España
5240;Navalperal de Pinares;España
5250;Hoyo de Pinares, El;España
5260;Cebreros;España
5267;San Bartolomé de Pinares;España
5268;Herradón de Pinares;España
5268;Santa Cruz de Pinares;España
5270;Tiemblo, El;España
5278;Barraco, El;España
5278;Tiemblo, El;España
5279;Tiemblo, El;España
5280;Mingorría;España
5289;San Esteban de los Patos;España
5289;Tolbaños;España
5290;Blascosancho;España
5290;Sanchidrián;España
5291;Maello;España
5292;Pajares de Adaja;España
5292;Pozanco;España
5292;Santo Domingo de las Posadas;España
5292;Vega de Santa María;España
5292;Velayos;España
5294;Herradón de Pinares;España
5296;Adanero;España
5296;Espinosa de los Caballeros;España
5296;Gutierre-Muñoz;España
5296;Orbita;España
5298;Mamblas;España
5298;Rasueros;España
5298;Tolbaños;España
5299;Blasconuño de Matacabras;España
5299;Moraleja de Matacabras;España
5300;Crespos;España
5309;Collado de Contreras;España
5309;Crespos;España
5309;Muñogrande;España
5309;Rivilla de Barajas;España
5309;Viñegra de Moraña;España
5310;Fontiveros;España
5320;Cardeñosa;España
5340;Bularros;España
5350;San Pedro del Arroyo;España
5357;Aveinte;España
5357;Brabos;España
5357;Grandes y San Martín;España
5357;Muñogrande;España
5357;Santo Tomé de Zabarcos;España
5357;Sigeres;España
5357;Villaflor;España
